AVL,ENRL,ABBR,NUM,TYPE,SEC,TITLE,CR,TIME,DAYS,ROOM,BUILDING,INSTR
69,16,CSC,1240,,1,STATS &amp; GRAPH MATLB,3.0,1130-1220,M W,1225,PATRICK TAYLOR,BRENER
F,LAB,1130-0120,F,BRENER,,"N
",,,,,,
5,75,CSC,1253,,1,COMP SCI WITH C++,3.0,1200-0120,T TH,1245,PATRICK TAYLOR,DUNCAN
34,46,CSC,1253,,2,COMP SCI WITH C++,3.0,130-0250,T TH,1245,PATRICK TAYLOR,DUNCAN
15,33,CSC,1254,,1,11,3.0,WITH C++,COMP,SCI,WITH C++,1200-0120
F,96,CSC,1350,COMP SCI I-MJRS,,2,930-1020,4.0,M W F,1225,PATRICK TAYLOR,DONZE
F,LAB,500-0750N,M,DONZE,,"D
(F)",,,,,,
F,135,CSC,1350,COMP SCI I-MJRS,,1,1030-1120,4.0,M W F,1200,PATRICK TAYLOR,AYMOND
F,LAB,430-0720N,TH,AYMOND,,"P
",,,,,,
7,93,CSC,1350,,3,COMP SCI I-MJRS,4.0,130-0250,T TH,1125,BUS,ED
F,LAB,130-0420,F,KUNDU,,"S
(F)",,,,,,
F,96,CSC,1351,COMP SCI II-MJRS,,1,1030-1150,4.0,T TH,1225,PATRICK TAYLOR,MAHMOUD
F,LAB,500-0750N,T,MAHMOUD,,"A
",,,,,,
18,162,CSC,2259,,1,DISCRETE STRUCTURES,3.0,1200-0120,T TH,1100,PATRICK TAYLOR,SHAH
36,44,CSC,2262,,1,NUMERICAL METHODS,3.0,900-1020,T TH,1245,PATRICK TAYLOR,BRENER
1,95,CSC,2362,,1,INTRO TO CYBERSECUR,3.0,1030-1150,T TH,1221,PATRICK TAYLOR,GLASS
12,4,CSC,2700,,2,COMP SCI TEACH MTHDS,1-3,330-0450,M W,0136,PRESCOTT,ALEGRE
14,11,CSC,2700,,1,CMPTVE PRGMG 1CR HR,1-3,600-0750N,T,1216,PATRICK TAYLOR,TRAXLER
F,48,CSC,2730,DATA SCI &amp; ANALYTICS,,1,130-0250,3.0,T TH,2324,PATRICK TAYLOR,ZHANG
F,**,TO,BE,HELD,,IN,PFT,"2324
",,,,
37,11,CSC,2730,,2,DATA SCI &amp; ANALYTICS,3.0,300-0420,T TH,2324,PATRICK TAYLOR,ZHANG
17,143,CSC,3102,,1,ADV DATA STRUCTURES,3.0,900-1020,T TH,1100,PATRICK TAYLOR,DUNCAN
F,92,CSC,3200,ETHICS IN COMPUTING,,1,1130-1220,1.0,M,0204,TUREAUD HALL,CARVER
